Sample,Treatment,Day,group,total_biomass
2,HW,-4,Bacillariophyta,130.955937902199
2,HW,-4,Charophyta,505.810328940023
2,HW,-4,Chlorophyta,5.83958687858575
2,HW,-4,Cryptophyta,135.2979236146
2,HW,-4,Cyanobacteria,0
2,HW,-4,Dinophyta,0
2,HW,-4,Euglenophyta,0
2,HW,-4,Synurophyta,0
2,HW,3,Bacillariophyta,0
2,HW,3,Charophyta,0.0133517687777566
2,HW,3,Chlorophyta,1.33517687777566
2,HW,3,Cryptophyta,21.3083603910343
2,HW,3,Cyanobacteria,0
2,HW,3,Dinophyta,0
2,HW,3,Euglenophyta,0.712094334813686
2,HW,3,Synurophyta,0
2,HW,10,Bacillariophyta,5.10540033000268
2,HW,10,Charophyta,22.3447039963889
2,HW,10,Chlorophyta,3.35508078365307
2,HW,10,Cryptophyta,18.6924762888593
2,HW,10,Cyanobacteria,1.40763359432451
2,HW,10,Dinophyta,21.3628300444106
2,HW,10,Euglenophyta,0.356047167406843
2,HW,10,Synurophyta,0
2,HW,15,Bacillariophyta,1.04670353755551
2,HW,15,Charophyta,30.2207296546754
2,HW,15,Chlorophyta,20.0276531666349
2,HW,15,Cryptophyta,144.849445203988
2,HW,15,Cyanobacteria,0
2,HW,15,Dinophyta,0
2,HW,15,Euglenophyta,0.890117918517108
2,HW,15,Synurophyta,0
2,HW,24,Bacillariophyta,58.9039615121046
2,HW,24,Charophyta,74.0561603936495
2,HW,24,Chlorophyta,1804.32689243556
2,HW,24,Cryptophyta,74.131278928323
2,HW,24,Cyanobacteria,0.674842899923745
2,HW,24,Dinophyta,6.94291976443344
2,HW,24,Euglenophyta,56.433545574447
2,HW,24,Synurophyta,0
2,HW,30,Bacillariophyta,6.32640184112053
2,HW,30,Charophyta,3.9524573524354
2,HW,30,Chlorophyta,0.534515810069523
2,HW,30,Cryptophyta,24.8061065680323
2,HW,30,Cyanobacteria,0
2,HW,30,Dinophyta,0
2,HW,30,Euglenophyta,0
2,HW,30,Synurophyta,0
2,HW,38,Bacillariophyta,35.1478666257444
2,HW,38,Charophyta,41.6252304863126
2,HW,38,Chlorophyta,3.04878118539059
2,HW,38,Cryptophyta,1.57550871577528
2,HW,38,Cyanobacteria,1.11362652785675
2,HW,38,Dinophyta,0
2,HW,38,Euglenophyta,10.6090234008634
2,HW,38,Synurophyta,0
6,HW,-4,Bacillariophyta,293.8765924898
6,HW,-4,Charophyta,644.856252798063
6,HW,-4,Chlorophyta,44.1473564282767
6,HW,-4,Cryptophyta,264.81008075884
6,HW,-4,Cyanobacteria,0.8296
6,HW,-4,Dinophyta,907.92027688745
6,HW,-4,Euglenophyta,23.4759699829702
6,HW,-4,Synurophyta,0
6,HW,3,Bacillariophyta,0.20833933247626
6,HW,3,Charophyta,0
6,HW,3,Chlorophyta,62.7533132554561
6,HW,3,Cryptophyta,23.1130244016949
6,HW,3,Cyanobacteria,0
6,HW,3,Dinophyta,0
6,HW,3,Euglenophyta,0.356047167406843
6,HW,3,Synurophyta,0
6,HW,10,Bacillariophyta,1.88352971036882
6,HW,10,Charophyta,30.678653599475
6,HW,10,Chlorophyta,2.46173236839888
6,HW,10,Cryptophyta,17.3572994110836
6,HW,10,Cyanobacteria,0
6,HW,10,Dinophyta,6.94291976443344
6,HW,10,Euglenophyta,0.445058959258554
6,HW,10,Synurophyta,0
6,HW,15,Bacillariophyta,2.04494832323641
6,HW,15,Charophyta,122.21659342249
6,HW,15,Chlorophyta,6.00829594999048
6,HW,15,Cryptophyta,22.6345860204919
6,HW,15,Cyanobacteria,0
6,HW,15,Dinophyta,10.6814150222053
6,HW,15,Euglenophyta,0
6,HW,15,Synurophyta,0
6,HW,24,Bacillariophyta,4.42729544629187
6,HW,24,Charophyta,17.5521796028689
6,HW,24,Chlorophyta,10.6974800222053
6,HW,24,Cryptophyta,81.4675362377121
6,HW,24,Cyanobacteria,0.256078023978187
6,HW,24,Dinophyta,0
6,HW,24,Euglenophyta,1.51632978228637
6,HW,24,Synurophyta,0
6,HW,30,Bacillariophyta,2.54751768777757
6,HW,30,Charophyta,19.9264949740201
6,HW,30,Chlorophyta,23.0389220849783
6,HW,30,Cryptophyta,48.5114265591824
6,HW,30,Cyanobacteria,0.0213628300444106
6,HW,30,Dinophyta,0
6,HW,30,Euglenophyta,0
6,HW,30,Synurophyta,0
6,HW,38,Bacillariophyta,2.68953147277471
6,HW,38,Charophyta,8.04686069668933
6,HW,38,Chlorophyta,0.846998295017877
6,HW,38,Cryptophyta,2.19414066914467
6,HW,38,Cyanobacteria,0.078615214563431
6,HW,38,Dinophyta,0
6,HW,38,Euglenophyta,5.08055664132355
6,HW,38,Synurophyta,0
14,Control,-4,Bacillariophyta,12.8656832118375
14,Control,-4,Charophyta,0.881425360719089
14,Control,-4,Chlorophyta,0.423918658693773
14,Control,-4,Cryptophyta,90.2741459572778
14,Control,-4,Cyanobacteria,0
14,Control,-4,Dinophyta,46.464155346593
14,Control,-4,Euglenophyta,0.235347177655923
14,Control,-4,Synurophyta,0
